Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-417.6595	-428.9294	11.26988	0.121321	0.0403969	0.0970572	0.0613012	0.0237377	0.0253362	0.0089033	0.0932633	0.0333795	0.20026	0.0487694	0.0165366	0.100376	0.196937	0.043001	0.422821	1.55313	0.294793	0.551165	0.830395	1.20425	1.81434	3.39221	0.8832161	0.2608951	0.109242	0.0363747	0.0873936	0.0551977	0.0213742	0.0228136	0.00801683	0.0839774	0.030056	0.180321	0.0439136	0.0148901	0.0903817	0.177329	0.0387195	0.40922	0.59078	0.4092204	1.110576
36	-430.9088	-442.5228	11.614	0.0852069	0.0163223	0.101416	0.0574652	0.0452999	0.0740087	0.0777323	0.198923	0.0800861	0.250553	0.121762	0.0034857	0.248236	0.0936178	0.030129	0.16612	1.79914	0.40492	0.643447	0.871484	1.14747	1.55413	2.46963	0.6537026	0.08848603	0.0574076	0.0109971	0.0683285	0.0387168	0.0305205	0.0498629	0.0523717	0.134023	0.0539575	0.168809	0.0820361	0.00234847	0.167247	0.0630744	0.0202992	0.182397	0.817603	0.1823965	1.484244
72	-420.3537	-431.4336	11.07993	0.149298	0.0879951	0.137654	0.00979729	0.00691139	0.0145619	0.0235931	0.104015	0.19394	0.249789	0.037975	0.0522293	0.116872	0.208517	0.151058	0.31157	1.65975	0.347096	0.596865	0.85129	1.17469	1.67542	2.88105	0.7651177	0.1798995	0.0966827	0.0569841	0.0891425	0.00634456	0.0044757	0.00943001	0.0152785	0.0673581	0.125592	0.161759	0.0245919	0.0338228	0.075684	0.135032	0.0978226	0.295731	0.704269	0.2957315	1.544205
108	-415.4286	-425.8955	10.46688	0.0773256	0.00248194	0.138232	0.0249206	0.00678596	0.0299734	0.0403005	0.147306	0.137312	0.419676	0.0777186	0.0744651	0.154288	0.469185	0.068878	0.517406	1.46249	0.49564	0.71012	0.898707	1.11271	1.40821	2.01759	0.5075255	0.3390444	0.041376	0.00132806	0.0739666	0.0133347	0.00363109	0.0160384	0.0215643	0.078822	0.0734738	0.224564	0.0415863	0.0398454	0.082558	0.251055	0.0368559	0.434449	0.565551	0.434449	1.868849
144	-416.9619	-427.886	10.92413	0.163364	0.0323732	0.0976263	0.0205404	0.0172993	0.0458006	0.0498735	0.130224	0.235945	0.325814	0.0572186	0.069614	0.187156	0.353804	0.0324494	0.345039	1.62767	0.52662	0.731431	0.907036	1.10249	1.36718	1.8989	0.4636866	0.2031507	0.0898049	0.0177962	0.0536673	0.0112915	0.0095098	0.0251776	0.0274165	0.071587	0.129704	0.179107	0.0314543	0.0382683	0.102884	0.194493	0.0178381	0.447679	0.552321	0.4476787	1.819103
180	-425.6469	-436.7242	11.07727	0.0418469	0.0324682	0.0655067	0.00325746	0.00969978	0.0169375	0.00871963	0.05258	0.0860248	0.170858	0.00720858	0.0433955	0.0912945	0.0930427	0.000543646	0.453118	1.5241	0.152025	0.399041	0.750801	1.33191	2.50601	6.57787	1.362052	0.2849152	0.0578488	0.0448838	0.0905559	0.00450308	0.0134089	0.0234143	0.0120539	0.0726861	0.11892	0.236193	0.00996508	0.0599895	0.126205	0.128622	0.000751532	0.509493	0.490507	0.5094927	0.723384
216	-421.1402	-432.264	11.12382	0.102674	0.0254304	0.169196	0.0179453	0.00546986	0.03402	0.0912914	0.113957	0.0750623	0.495833	0.0962751	0.0127331	0.0808857	0.257002	0.0601198	0.492634	1.48623	0.729958	0.857689	0.953235	1.04906	1.16592	1.36994	0.2275993	0.3176551	0.0626867	0.0155263	0.103301	0.0109563	0.00333957	0.0207706	0.055737	0.0695753	0.0458285	0.302726	0.0587797	0.00777406	0.0493839	0.15691	0.0367055	0.434586	0.565414	0.4345859	1.637896
252	-419.9945	-430.6726	10.67809	0.177866	0.0633149	0.149723	0.00534606	0.00282735	0.0418669	0.00419519	0.117163	0.0298259	0.240986	0.134297	0.0870653	0.0827643	0.306118	0.014855	0.691656	1.2955	0.468605	0.690958	0.89107	1.12225	1.44727	2.13399	0.5480827	0.5116466	0.121975	0.0434195	0.102676	0.00366617	0.00193892	0.0287111	0.00287694	0.0803469	0.0204537	0.165261	0.092097	0.0597068	0.0567573	0.209927	0.0101871	0.487409	0.512591	0.4874092	1.458214
288	-421.4394	-432.643	11.20359	0.147716	0.0991944	0.122423	0.0247539	0.0340565	0.0132011	0.000370849	0.0560543	0.0123432	0.149022	0.121727	0.0203627	0.0786094	0.304586	0.0698845	0.318665	1.65295	0.251509	0.510091	0.810572	1.2337	1.96043	3.97601	0.9980362	0.1847535	0.117767	0.0790832	0.0976023	0.0197352	0.0271518	0.0105247	0.000295661	0.0446896	0.00984065	0.118808	0.0970473	0.0162343	0.0626717	0.242832	0.0557158	0.361068	0.638932	0.3610683	1.254304
324	-414.8626	-426.0834	11.22083	0.123163	0.0313425	0.0612451	0.000167023	0.00750531	0.0368519	0.000392846	0.0769476	0.0480404	0.258482	0.118059	0.0394151	0.0542845	0.258914	0.0699974	0.513971	1.46578	0.394576	0.635377	0.86806	1.15199	1.57387	2.53437	0.6724138	0.3360371	0.103952	0.0264536	0.051692	0.000140971	0.00633463	0.0311037	0.000331569	0.0649452	0.040547	0.218164	0.099644	0.0332671	0.0458172	0.218528	0.0590791	0.365227	0.634773	0.365227	1.184808
360	-419.168	-430.6384	11.4704	0.102852	0.0543611	0.105003	0.000177265	0.00885467	0.0239914	0.0250195	0.0812267	0.0177675	0.340551	0.129369	0.0069496	0.0885852	0.200432	0.0301914	0.403546	1.5716	0.435096	0.666403	0.881068	1.13499	1.50059	2.29834	0.6017291	0.246075	0.0846285	0.0447295	0.0863989	0.000145858	0.00728581	0.0197407	0.0205866	0.066835	0.0146195	0.280212	0.106448	0.00571827	0.0728897	0.16492	0.0248421	0.361803	0.638197	0.3618029	1.215332
