Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
360	-420.4157	-430.7754	10.35971	0.0592252	0.00117394	0.0197672	0.00245368	0.002805	0.016881	0.00052631	0.0270509	0.00263006	0.0395751	0.0102861	0.0199932	0.0168814	0.0852461	0.102204	0.748361	1.24115	0.110999	0.342294	0.715717	1.3972	2.92147	9.00912	1.589477	0.5778324	0.145624	0.00288651	0.048604	0.00603316	0.006897	0.0415074	0.0012941	0.0665133	0.00646684	0.0973082	0.0252917	0.0491597	0.0415082	0.209605	0.251301	0.300973	0.699027	0.3009732	0.4066989
396	-423.1544	-434.4503	11.29592	0.0793205	0.0234385	0.0468163	0.108345	0.0080815	0.0151231	0.0264687	0.0477628	0.0720116	0.231661	0.0221832	0.0360197	0.0627555	0.200119	0.067243	0.187024	1.7791	0.135784	0.377649	0.738005	1.355	2.64796	7.36462	1.443742	0.1007429	0.0757345	0.0223789	0.0446997	0.103447	0.00771614	0.0144394	0.0252721	0.0456035	0.068756	0.221187	0.0211803	0.0343913	0.0599184	0.191072	0.064203	0.28155	0.71845	0.2815502	1.04735
432	-419.4835	-431.0005	11.51706	0.0657752	0.0166739	0.0523192	0.0219117	0.00219381	0.0578567	0.00166118	0.188079	0.0739567	0.122022	0.00835179	0.015278	0.0266037	0.214084	0.183677	0.34606	1.62669	0.30576	0.561073	0.835023	1.19757	1.7823	3.27053	0.8568028	0.2038742	0.0626166	0.0158731	0.0498067	0.0208595	0.00208846	0.0550783	0.00158141	0.179048	0.0704052	0.116162	0.00795072	0.0145443	0.0253261	0.203803	0.174857	0.389645	0.610355	0.3896449	1.050444
468	-423.2177	-434.7659	11.54822	0.0952152	0.0296555	0.049688	0.0449458	0.00348659	0.0266302	0.0257154	0.0321979	0.0533759	0.0054423	0.124927	0.036083	0.0326641	0.0945982	0.0177682	0.274211	1.69555	0.16763	0.418518	0.762047	1.31225	2.38938	5.96551	1.291397	0.1549856	0.141606	0.0441044	0.0738972	0.0668445	0.00518533	0.039605	0.0382446	0.0478855	0.0793819	0.00809392	0.185795	0.0536635	0.0485788	0.140689	0.0264253	0.241615	0.758385	0.241615	0.6723937
504	-420.491	-431.5639	11.07287	0.0124196	0.00227244	0.0250034	0.00267917	0.00196467	0.00556282	0.00417965	0.0449395	0.0391767	0.0672229	0.00924891	0.0167202	0.017215	0.0562102	0.0348853	0.27457	1.6952	0.08908	0.307472	0.692157	1.44476	3.25233	11.2259	1.74854	0.1552203	0.0365604	0.00668953	0.0736043	0.00788687	0.00578355	0.0163757	0.0123039	0.132292	0.115327	0.197889	0.0272267	0.0492203	0.0506771	0.16547	0.102694	0.344293	0.655707	0.3442927	0.3397004
540	-424.1731	-434.2786	10.10549	0.264158	0.109031	0.118702	0.00952874	0.0329116	0.0183917	0.0608817	0.0727465	0.215408	0.191313	0.113173	0.0218803	0.0378272	0.428841	0.41872	0.54051	1.44034	0.529914	0.733659	0.907897	1.10145	1.36303	1.8871	0.4591781	0.3596285	0.124985	0.0515877	0.0561634	0.00450848	0.015572	0.00870196	0.0288059	0.0344197	0.101919	0.0905189	0.0535475	0.0103526	0.0178978	0.202904	0.198115	0.344779	0.655221	0.344779	2.113514
576	-420.4093	-430.8472	10.43786	0.278238	0.0701768	0.0895453	0.00674191	0.0140267	0.0176139	0.0372973	0.177037	0.287548	0.148707	0.0658146	0.103849	0.010029	0.461273	0.481949	0.470555	1.50738	0.933905	0.967201	0.98965	1.01046	1.03391	1.07077	0.04944396	0.2991594	0.12367	0.0311918	0.0398006	0.00299661	0.00623449	0.00782892	0.0165777	0.0786885	0.127808	0.0660967	0.0292529	0.0461582	0.00445762	0.205024	0.214214	0.447448	0.552552	0.4474484	2.249847
612	-417.6245	-428.495	10.87054	0.209897	0.0605069	0.152054	0.010255	0.0247895	0.00467393	0.0235293	0.120749	0.046355	0.163268	0.177131	0.0379639	0.0905944	0.362749	0.447927	0.443755	1.53307	0.810936	0.902844	0.968617	1.0324	1.10761	1.23314	0.1515306	0.2773946	0.108617	0.0313111	0.0786849	0.00530677	0.0128281	0.00241866	0.0121759	0.0624854	0.0239878	0.0844879	0.0916619	0.0196455	0.0468808	0.187715	0.231793	0.359956	0.640044	0.3599558	1.932443
648	-426.6219	-436.1434	9.521469	0.20731	0.0485723	0.130116	0.10337	0.0516116	0.0256584	0.0291259	0.168833	0.0335406	0.147334	0.0351035	0.143694	0.0913454	0.443987	0.544091	0.780832	1.21004	0.526092	0.731074	0.906898	1.10266	1.36785	1.90081	0.4644118	0.6184096	0.0940739	0.0220413	0.0590444	0.0469078	0.0234205	0.0116434	0.0132169	0.0766138	0.0152202	0.0668578	0.0159294	0.0652058	0.041451	0.201474	0.2469	0.428549	0.571451	0.4285487	2.203693
684	-418.4943	-429.7317	11.23739	0.131637	0.0299096	0.100616	0.0633309	0.0271661	0.0181648	0.0176495	0.105464	0.0763812	0.126574	0.0393512	0.286444	0.021159	0.115321	0.33466	0.553115	1.42827	0.762467	0.87611	0.959576	1.04213	1.14141	1.31153	0.1960939	0.3711273	0.0881205	0.0200221	0.0673544	0.042395	0.0181855	0.0121599	0.011815	0.0706	0.0511312	0.0847314	0.0263425	0.191751	0.0141643	0.0771986	0.224028	0.395684	0.604316	0.3956837	1.493829
720	-421.2383	-432.7629	11.52457	0.0881972	0.00316255	0.0312826	0.0246063	0.00797336	0.0289896	0.0261866	0.127741	0.115933	0.0402029	0.0347726	0.114957	0.0559974	0.0726749	0.188144	0.434951	1.54151	0.349923	0.599231	0.852341	1.17324	1.66881	2.85777	0.7592531	0.2704029	0.0917936	0.00329151	0.0325582	0.0256096	0.00829848	0.0301717	0.0272544	0.13295	0.120661	0.0418422	0.0361905	0.119644	0.0582808	0.0756383	0.195816	0.202574	0.797426	0.2025737	0.960821
756	-420.5615	-430.8691	10.30757	0.176886	0.0200122	0.114263	0.00955528	0.092798	0.0498761	0.0284111	0.110924	0.097473	0.0842858	0.479948	0.065429	0.500397	0.130539	0.199695	0.422789	1.55316	0.566255	0.757781	0.917106	1.09039	1.31964	1.76599	0.4112168	0.2608695	0.081873	0.00926281	0.0528877	0.00442273	0.0429523	0.0230855	0.0131503	0.051342	0.0451161	0.0390123	0.222147	0.0302843	0.231612	0.060421	0.0924304	0.49616	0.50384	0.4961597	2.160492
792	-423.3739	-434.5681	11.19424	0.124012	0.031751	0.048076	0.0237807	0.0236881	0.0640539	0.108923	0.117412	0.191659	0.0899313	0.399005	0.0338987	0.290061	0.0667492	0.102981	0.479652	1.49867	0.904699	0.952329	0.984877	1.01536	1.05006	1.10534	0.07241754	0.3067168	0.072269	0.0185031	0.0280166	0.0138584	0.0138044	0.0373278	0.0634758	0.0684224	0.111691	0.052408	0.232523	0.0197547	0.169035	0.0388986	0.0600129	0.17018	0.82982	0.17018	1.715982
